,,0,0,8,12
-,8,0,8,12
0,16,0,8,12
1,24,0,8,12
2,32,0,8,12
3,40,0,8,12
4,48,0,8,12
5,56,0,8,12
6,64,0,8,12
7,72,0,8,12
8,80,0,8,12
9,88,0,8,12
A,96,0,8,12
B,0,12,8,12
C,8,12,8,12
D,16,12,8,12
E,24,12,8,12
F,32,12,8,12
G,40,12,8,12
H,48,12,8,12
I,56,12,8,12
J,64,12,8,12
K,72,12,8,12
L,80,12,8,12
M,88,12,8,12
N,96,12,8,12
O,0,24,8,12
P,8,24,8,12
Q,16,24,8,12
R,24,24,8,12
S,32,24,8,12
T,40,24,8,12
U,48,24,8,12
V,56,24,8,12
W,64,24,8,12
X,72,24,8,12
Y,80,24,8,12
Z,88,24,8,12
É,96,24,8,12
Ó,0,36,8,12
Ü,8,36,8,12
Í,16,36,8,12
 ,24,36,8,12
sd,0,48,8,12
usb,8,48,8,12
nfs,16,48,8,12
folder,24,48,8,12
skull,32,48,8,12
translation,40,48,8,12
pencil,48,48,8,12
mame,56,48,8,12
fbneo,64,48,8,12
world,72,48,8,12
usa,80,48,8,12
europe,88,48,8,12
japan,96,48,8,12
china,0,60,8,12
korea,8,60,8,12
taiwan,16,60,8,12
australia,24,60,8,12
spain,32,60,8,12
germany,40,60,8,12
france,48,60,8,12
italy,56,60,8,12
brazil,64,60,8,12
portugal,72,60,8,12
sweden,80,60,8,12
region,88,60,8,12
save,96,60,8,12
Action,0,72,8,12
Adventure,8,72,8,12
Board,16,72,8,12
Cards,24,72,8,12
Casino,32,72,8,12
Compilation,40,72,8,12
Demo,48,72,8,12
Driving,56,72,8,12
Educational,64,72,8,12
Fighting,72,72,8,12
Music,80,72,8,12
Other,88,72,8,12
Pinball,96,72,8,12
Platform,0,84,8,12
Puzzle,8,84,8,12
Quiz,16,84,8,12
Role,24,84,8,12
Shoot'em-Up,32,84,8,12
Shooter,40,84,8,12
Simulation,48,84,8,12
Sports,56,84,8,12
Strategy,64,84,8,12
